sample,feature,original_abundance,counterfactual_abundance,healthy_median_abundance,abs_dist_original_to_healthy,abs_dist_cf_to_healthy,moved_closer_to_healthy
sample_0,Streptococcus pneumoniae [1400],0.6644273865801008,-1.1479917,0.41875757349669795,0.24566981308340285,1.566749273496698,False
sample_0,Streptococcus pseudopneumoniae [1401],-1.0887559882949422,-1.088756,-1.0887559882949422,0.0,1.1705057811894903e-08,False
sample_0,Streptococcus mitis [1402],-2.5392756222653543,0.3407555,-0.2009113856308427,2.3383642366345114,0.5416668856308426,True
sample_0,Streptococcus mitis [1403],0.1114054163483952,-1.7940364,0.1079259861733824,0.0034794301750128015,1.9019623861733823,False
sample_0,Streptococcus mitis [1404],-1.67351124921302,-1.6735113,-0.4873460714537274,1.1861651777592925,1.1861652285462725,False
sample_0,unnamed Streptococcus sp. M334 [1405],0.415435117227462,-0.9813026,-0.529395431885569,0.9448305491130311,0.451907168114431,True
sample_0,Streptococcus mitis [1406],-1.6537748935821959,-1.6537749,0.2651745781638623,1.9189494717460582,1.9189494781638623,False
sample_0,unnamed Streptococcus sp. M143 [1407],-1.4729538739871768,-1.4729539,-0.7255516811429302,0.7474021928442466,0.7474022188570698,False
sample_0,Streptococcus mitis [1408],-1.077730436870468,-1.0777304,-0.7581607109326363,0.31956972593783184,0.3195696890673638,True
sample_0,Streptococcus mitis [1409],1.6047042007394017,-0.5657241,-0.81019327745364,2.4148974781930415,0.24446917745364005,True
sample_0,Streptococcus oralis [1410],-0.24864328812473951,-2.8099518,-0.2938543697481153,0.04521108162337578,2.5160974302518846,False
sample_0,Streptococcus oralis [1411],-1.7457820968163191,-1.7457821,0.035769360591688996,1.781551457408008,1.781551460591689,False
sample_0,Streptococcus sanguinis [1412],-1.569614204210686,-1.5696142,0.07858969621304415,1.64820390042373,1.648203896213044,True
sample_0,unnamed Streptococcus sp. oral taxon 071 [1413],0.10294552175844197,-1.7414312,0.6429104967044922,0.5399649749460502,2.3843416967044924,False
sample_0,Streptococcus mitis [1414],-1.3996141266540651,-1.3996141,0.14911694253082008,1.5487310691848852,1.54873104253082,True
sample_0,Streptococcus infantis [1415],-0.7145445808455086,-3.0215836,-0.4019957360047997,0.31254884484070894,2.6195878639952004,False
sample_0,Streptococcus infantis [1416],-1.788328585349833,-1.7883285,0.21607085275753396,2.004399438107367,2.004399352757534,True
