feature,median_original,median_cf,median_healthy,frac_moved_closer,median_abs_dist_original,median_abs_dist_cf,median_improvement
Gemella morbillorum [1302],-0.2815854507847758,1.270252,-0.07215657188126093,0.7,1.6742782347847844,1.6742782281187392,6.666045271330745e-09
Fusobacterium gonidiaformans [1476],-0.36611786000019164,-0.36611786,-0.36611786000019164,0.0,0.0,1.9162449405030202e-13,-1.9162449405030202e-13
Neisseria sicca/macacae [437],-0.1712905998590918,-0.1712906,-0.1712905998590918,0.2,0.0,1.4090817401779532e-10,-1.4090817401779532e-10
Eubacterium saphenum [1563],-0.48611453089033557,-0.48611453,-0.48611453089033557,0.2,0.0,8.903355830369719e-10,-8.903355830369719e-10
Lactobacillus oris [1455],-0.3993602989904824,-0.3993603,-0.3993602989904824,0.2,0.0,1.0095175806412726e-09,-1.0095175806412726e-09
Prevotella multiformis [1073],-0.3449036010258239,-0.3449036,-0.3449036010258239,0.3,0.0,1.0258239258043034e-09,-1.0258239258043034e-09
Campylobacter concisus [1722],-0.22216344896969573,-0.22216345,-0.22216344896969573,0.1,0.0,1.0303042863313294e-09,-1.0303042863313294e-09
Aggregatibacter aphrophilus [319],-0.22930390891071412,-0.22930391,-0.22930390891071412,0.2,0.0,1.089285883715263e-09,-1.089285883715263e-09
Weissella cibaria [1428],-0.22457711109983386,-0.22457711,-0.22457711109983386,0.1,0.0,1.099833862872046e-09,-1.099833862872046e-09
unnamed Enterobacteriaceae bacterium 9_2_54FAA [374],-1.1672829988294182,-1.167283,-1.1672829988294182,0.1,0.0,1.1705818536711377e-09,-1.1705818536711377e-09
Parascardovia denticolens [976],-0.4624841986568567,-0.4624842,-0.4624841986568567,0.2,0.0,1.3431433187882647e-09,-1.3431433187882647e-09
Enterobacter cancerogenus [387],-0.21314046864658262,-0.21314047,-0.21314046864658262,0.0,0.0,1.353417378169297e-09,-1.353417378169297e-09
Enterobacter cloacae [385],-0.27868349859801944,-0.2786835,-0.27868349859801944,0.0,0.0,1.4019805316678458e-09,-1.4019805316678458e-09
Lactobacillus crispatus [1444],-0.4973691984767298,-0.4973692,-0.4973691984767298,0.1,0.0,1.523270232173246e-09,-1.523270232173246e-09
Prevotella tannerae [1112],-0.18420044158972398,-0.18420044,-0.18420044158972398,0.1,0.0,1.58972399133539e-09,-1.58972399133539e-09
Pseudomonas putida [222],-0.15748206160289385,-0.15748206,-0.15748206160289385,0.0,0.0,1.6028938454315522e-09,-1.6028938454315522e-09
Lactobacillus rhamnosus [1453],-0.6919948016415407,-0.6919948,-0.6919948016415407,0.4,0.0,1.6415406811631783e-09,-1.6415406811631783e-09
Citrobacter youngae [393],-0.3053526281528806,-0.30535263,-0.3053526281528806,0.2,0.0,1.8471194018765402e-09,-1.8471194018765402e-09
Prevotella disiens [1071],-0.30996516203461566,-0.30996516,-0.30996516203461566,0.0,0.0,2.034615642632076e-09,-2.034615642632076e-09
Lactobacillus johnsonii [1442],-0.5151940576201609,-0.51519406,-0.5151940576201609,0.1,0.0,2.37983910356121e-09,-2.37983910356121e-09
Blautia hansenii [1617],-0.4715132427094815,-0.47151324,-0.4715132427094815,0.4,0.0,2.7094814725181493e-09,-2.7094814725181493e-09
Campylobacter hominis [1719],-0.20515946297410412,-0.20515946,-0.20515946297410412,0.0,0.0,2.9741041296382775e-09,-2.9741041296382775e-09
Lactococcus garvieae [1368],-0.23187796699546634,-0.23187797,-0.23187796699546634,0.0,0.0,3.0045336496531405e-09,-3.0045336496531405e-09
Leuconostoc gelidum [1435],-0.187144376842039,-0.18714438,-0.187144376842039,0.1,0.0,3.157961003807941e-09,-3.157961003807941e-09
unnamed Neisseria sp. oral taxon 014 [439],-0.0910800664958066,-0.09108007,-0.0910800664958066,0.0,0.0,3.5041933937884906e-09,-3.5041933937884906e-09
Eubacterium limosum [1582],-1.3637832035767201,-1.3637832,-1.3637832035767201,0.2,0.0,3.5767200312619707e-09,-3.5767200312619707e-09
Pediococcus acidilactici [1469],-0.2798370737145769,-0.27983707,-0.2798370737145769,0.0,0.0,3.7145768683188862e-09,-3.7145768683188862e-09
Micrococcus luteus [961],-0.09444878627671344,-0.09444879,-0.09444878627671344,0.1,0.0,3.7232865679470706e-09,-3.7232865679470706e-09
Leuconostoc citreum [1431],-0.16240211380622382,-0.16240211,-0.16240211380622382,0.0,0.0,3.8062238361114e-09,-3.8062238361114e-09
Prevotella buccalis [1059],-0.2169319438326026,-0.21693194,-0.2169319438326026,0.0,0.0,3.8326025963986154e-09,-3.8326025963986154e-09
Porphyromonas uenonis [1057],-0.3702919842201866,-0.37029198,-0.3702919842201866,0.1,0.0,4.2201865890767465e-09,-4.2201865890767465e-09
Anaerococcus hydrogenalis [1497],-0.1371724457140597,-0.13717245,-0.1371724457140597,0.0,0.0,4.285940297110713e-09,-4.285940297110713e-09
Brevibacterium linens [949],-0.1316179243268648,-0.13161792,-0.1316179243268648,0.1,0.0,4.326864810888509e-09,-4.326864810888509e-09
unnamed Parvimonas sp. oral taxon 110 [1506],-1.1191962043459598,-1.1191962,-1.1191962043459598,0.1,0.0,4.345959814244793e-09,-4.345959814244793e-09
Lactobacillus brevis [1473],-0.1259765853018764,-0.12597659,-0.1259765853018764,0.1,0.0,4.698123612367766e-09,-4.698123612367766e-09
Streptococcus agalactiae [1388],-0.26751888471960733,-0.26751888,-0.26751888471960733,0.0,0.0,4.7196073160726826e-09,-4.7196073160726826e-09
Peptoniphilus lacrimalis [1492],-0.44566095503001674,-0.44566095,-0.44566095503001674,0.2,0.0,5.030016736462528e-09,-5.030016736462528e-09
Scardovia inopinata [977],-0.31181963488114894,-0.31181964,-0.31181963488114894,0.2,0.0,5.118851065244456e-09,-5.118851065244456e-09
Corynebacterium variabile [829],-0.21183235487374108,-0.21183236,-0.21183235487374108,0.1,0.0,5.126258917353965e-09,-5.126258917353965e-09
Citrobacter koseri [397],-0.22341275524366522,-0.22341275,-0.22341275524366522,0.0,0.0,5.2436652242526804e-09,-5.2436652242526804e-09
Neisseria meningitidis [442],-0.1873476945269297,-0.1873477,-0.1873476945269297,0.1,0.0,5.473070302519645e-09,-5.473070302519645e-09
Clostridium butyricum [1543],-0.19970410439782482,-0.19970411,-0.19970410439782482,0.0,0.0,5.602175168206713e-09,-5.602175168206713e-09
unclassified Fusobacterium [1482],-0.7048790943279468,-0.7048791,0.34388548930940205,0.0,1.048764583637349,1.048764589309402,-5.6720530494658306e-09
Campylobacter gracilis [1724],-0.1806696343142656,-0.18066964,-0.1806696343142656,0.0,0.0,5.685734383309438e-09,-5.685734383309438e-09
Lactobacillus plantarum [1472],-0.5504862061719719,-0.5504862,-0.5504862061719719,0.2,0.0,6.1719718225106135e-09,-6.1719718225106135e-09
Campylobacter rectus [1720],-0.17914912624429966,-0.17914912,-0.17914912624429966,0.0,0.0,6.244299660673747e-09,-6.244299660673747e-09
Pediococcus pentosaceus [1470],-0.19294176371161464,-0.19294177,-0.19294176371161464,0.2,0.0,6.288385367980709e-09,-6.288385367980709e-09
Enterobacter asburiae [388],-0.1949781137114024,-0.19497812,-0.1949781137114024,0.1,0.0,6.288597614867442e-09,-6.288597614867442e-09
Pyramidobacter piscolens [1641],-0.39740565634100605,-0.39740565,-0.39740565634100605,0.0,0.0,6.341006053567355e-09,-6.341006053567355e-09
Leptotrichia hofstadii [1488],-0.1383858963413372,-0.13838589,-0.1383858963413372,0.0,0.0,6.34133717758445e-09,-6.34133717758445e-09
Succinatimonas hippei [425],-0.23764347316523227,-0.23764348,-0.23764347316523227,0.0,0.0,6.834767724006596e-09,-6.834767724006596e-09
Salmonella enterica [394],-0.34680872314902145,-0.34680873,-0.34680872314902145,0.2,0.0,6.850978562233934e-09,-6.850978562233934e-09
Eikenella corrodens [448],-0.14248400308446613,-0.14248401,-0.14248400308446613,0.0,0.0,6.915533867779544e-09,-6.915533867779544e-09
Clostridium botulinum [1542],-0.18613658294303068,-0.18613659,-0.18613658294303068,0.2,0.0,7.0569693144673096e-09,-7.0569693144673096e-09
Pseudoramibacter alactolyticus [1584],-0.14989390250653822,-0.14989391,-0.14989390250653822,0.2,0.0,7.493461767760223e-09,-7.493461767760223e-09
Enterococcus gallinarum [1362],-0.2745583077158558,-0.2745583,-0.2745583077158558,0.0,0.0,7.715855843137831e-09,-7.715855843137831e-09
Haemophilus haemolyticus [325],-0.35301237223789933,-0.35301238,-0.35301237223789933,0.1,0.0,7.762100684427509e-09,-7.762100684427509e-09
Prevotella nigrescens [1069],-0.45379239200425886,-0.4537924,-0.45379239200425886,0.0,0.0,7.99574112475554e-09,-7.99574112475554e-09
unnamed Erysipelotrichaceae bacterium 3_1_53 [1277],-0.5796130918730397,-0.5796131,-0.5796130918730397,0.0,0.0,8.12696032692628e-09,-8.12696032692628e-09
Anaerofustis stercorihominis [1557],-0.3631013216084439,-0.36310133,-0.3631013216084439,0.2,0.0,8.391556116649213e-09,-8.391556116649213e-09
Finegoldia magna [1504],-0.39055279145356414,-0.3905528,-0.39055279145356414,0.1,0.0,8.546435836809252e-09,-8.546435836809252e-09
Fusobacterium periodonticum [1478],-0.7493325407834885,-0.74933255,-0.7493325407834885,0.1,0.0,9.216511442922126e-09,-9.216511442922126e-09
unnamed Clostridium sp. D5 [1613],-0.6068604692906595,-0.60686046,-0.6068604692906595,0.3,0.0,9.290659463978557e-09,-9.290659463978557e-09
